route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0403","20331000017","20331000001","Bruz","","0","Ts3-1.2692062","0403-A-2774-2366","2",""
"0403","20331000042","20331000010","Noyal-Châtillon-sur-Seiche","","1","Ts3-2.2692309","0403-B-2366-2773","2",""
"0413","20331000042","20331000100","Chartres-de-Bretagne","","1","Ts13-2.2692304","0413-B-2366-2914","2",""
"0011","20331000033","20331001000","Roazhon Park","","0","11-2.2713211","0011-A-1533-1222","1",""
"0056","20331000019","20331010000","Chavagne","","0","56-1.2710253","0056-A-1595-4201","1",""
"0056","20331000021","20331010001","Chavagne","","0","56-1.2712240","0056-A-1595-4201","1",""
"0056","20331000029","20331010002","Chavagne","","0","56-1.2709894","0056-A-1595-4201","1",""
"0056","20331000031","20331010003","Chavagne","","0","56-1.2712601","0056-A-1595-4201","1",""
"0056","20331000037","20331010004","Chavagne","","0","56-1.2710613","0056-A-1595-4201","1",""
"0056","20331000048","20331010005","Chavagne","","0","56-1.2711288","0056-A-1595-4201","1",""
"0056","20331000050","20331010006","Chavagne","","0","56-1.2711931","0056-A-1595-4201","1",""
"0056","20331000013","20331010007","Chavagne","","0","56-1.2710979","0056-A-1595-4201","1",""
"0056","20331000019","20331010008","Chavagne","","0","56-1.2710253","0056-A-1595-4201","1",""
"0056","20331000021","20331010009","Chavagne","","0","56-1.2712240","0056-A-1595-4201","1",""
"0011","20331000039","20331001001","Roazhon Park","","0","11-2.2713498","0011-A-1533-1222","1",""
"0056","20331000029","20331010010","Chavagne","","0","56-1.2709894","0056-A-1595-4201","1",""
"0056","20331000031","20331010011","Chavagne","","0","56-1.2712601","0056-A-1595-4201","1",""
"0056","20331000037","20331010012","Chavagne","","0","56-1.2710613","0056-A-1595-4201","1",""
"0056","20331000048","20331010013","Chavagne","","0","56-1.2711288","0056-A-1595-4201","1",""
"0056","20331000050","20331010014","Chavagne","","0","56-1.2711931","0056-A-1595-4201","1",""
"0056","20331000013","20331010015","Chavagne","","0","56-1.2710979","0056-A-1595-4201","1",""
"0056","20331000019","20331010016","Chavagne","","0","56-1.2710253","0056-A-1595-4201","1",""
"0056","20331000021","20331010017","Chavagne","","0","56-1.2712240","0056-A-1595-4201","1",""
"0056","20331000029","20331010018","Chavagne","","0","56-1.2709894","0056-A-1595-4201","1",""
"0056","20331000031","20331010019","Chavagne","","0","56-1.2712601","0056-A-1595-4201","1",""
"0011","20331000052","20331001002","Roazhon Park","","0","11-2.2714102","0011-A-1533-1222","1",""
"0056","20331000037","20331010020","Chavagne","","0","56-1.2710613","0056-A-1595-4201","1",""
"0056","20331000048","20331010021","Chavagne","","0","56-1.2711288","0056-A-1595-4201","1",""
"0056","20331000050","20331010022","Chavagne","","0","56-1.2711931","0056-A-1595-4201","1",""
"0056","20331000013","20331010023","Rennes Charles de Gaulle","","1","56-1.2710979","0056-B-4201-1595","1",""
"0056","20331000019","20331010024","Rennes Charles de Gaulle","","1","56-1.2710253","0056-B-4201-1595","1",""
"0056","20331000021","20331010025","Rennes Charles de Gaulle","","1","56-1.2712240","0056-B-4201-1595","1",""
"0056","20331000029","20331010026","Rennes Charles de Gaulle","","1","56-1.2709894","0056-B-4201-1595","1",""
"0056","20331000031","20331010027","Rennes Charles de Gaulle","","1","56-1.2712601","0056-B-4201-1595","1",""
"0056","20331000037","20331010028","Rennes Charles de Gaulle","","1","56-1.2710613","0056-B-4201-1595","1",""
"0056","20331000048","20331010029","Rennes Charles de Gaulle","","1","56-1.2711288","0056-B-4201-1595","1",""
"0011","20331000015","20331001003","Roazhon Park","","0","11-3.2713774","0011-A-1533-1222","1",""
"0056","20331000050","20331010030","Rennes Charles de Gaulle","","1","56-1.2711931","0056-B-4201-1595","1",""
"0056","20331000013","20331010031","Chavagne","","0","56-1.2710979","0056-A-1595-4201","1",""
"0056","20331000019","20331010032","Chavagne","","0","56-1.2710253","0056-A-1595-4201","1",""
"0056","20331000021","20331010033","Chavagne","","0","56-1.2712240","0056-A-1595-4201","1",""
"0056","20331000029","20331010034","Chavagne","","0","56-1.2709894","0056-A-1595-4201","1",""
"0056","20331000031","20331010035","Chavagne","","0","56-1.2712601","0056-A-1595-4201","1",""
"0056","20331000037","20331010036","Chavagne","","0","56-1.2710613","0056-A-1595-4201","1",""
"0056","20331000048","20331010037","Chavagne","","0","56-1.2711288","0056-A-1595-4201","1",""
"0056","20331000050","20331010038","Chavagne","","0","56-1.2711931","0056-A-1595-4201","1",""
"0056","20331000013","20331010039","Chavagne","","0","56-1.2710979","0056-A-1595-4201","1",""
"0011","20331000023","20331001004","Roazhon Park","","0","11-3.2708034","0011-A-1533-1222","1",""
"0056","20331000019","20331010040","Chavagne","","0","56-1.2710253","0056-A-1595-4201","1",""
"0056","20331000021","20331010041","Chavagne","","0","56-1.2712240","0056-A-1595-4201","1",""
"0056","20331000029","20331010042","Chavagne","","0","56-1.2709894","0056-A-1595-4201","1",""
"0056","20331000031","20331010043","Chavagne","","0","56-1.2712601","0056-A-1595-4201","1",""
"0056","20331000037","20331010044","Chavagne","","0","56-1.2710613","0056-A-1595-4201","1",""
"0056","20331000048","20331010045","Chavagne","","0","56-1.2711288","0056-A-1595-4201","1",""
"0056","20331000050","20331010046","Chavagne","","0","56-5.2711946","0056-A-1595-4201","1",""
"0056","20331000013","20331010047","Chavagne","","0","56-1.2710979","0056-A-1595-4201","1",""
"0056","20331000019","20331010048","Chavagne","","0","56-1.2710253","0056-A-1595-4201","1",""
"0056","20331000021","20331010049","Chavagne","","0","56-1.2712240","0056-A-1595-4201","1",""
"0011","20331000025","20331001005","Roazhon Park","","0","11-3.2712883","0011-A-1533-1222","1",""
"0056","20331000029","20331010050","Chavagne","","0","56-1.2709894","0056-A-1595-4201","1",""
"0056","20331000031","20331010051","Chavagne","","0","56-1.2712601","0056-A-1595-4201","1",""
"0056","20331000037","20331010052","Chavagne","","0","56-1.2710613","0056-A-1595-4201","1",""
"0056","20331000048","20331010053","Chavagne","","0","56-1.2711288","0056-A-1595-4201","1",""
"0056","20331000050","20331010054","Chavagne","","0","56-7.2711922","0056-A-1595-4201","1",""
"0056","20331000013","20331010055","Rennes Charles de Gaulle","","1","56-1.2710979","0056-B-4201-1595","1",""
"0056","20331000019","20331010056","Rennes Charles de Gaulle","","1","56-1.2710253","0056-B-4201-1595","1",""
"0056","20331000021","20331010057","Rennes Charles de Gaulle","","1","56-1.2712240","0056-B-4201-1595","1",""
"0056","20331000029","20331010058","Rennes Charles de Gaulle","","1","56-1.2709894","0056-B-4201-1595","1",""
"0056","20331000031","20331010059","Rennes Charles de Gaulle","","1","56-1.2712601","0056-B-4201-1595","1",""
"0011","20331000033","20331001006","Roazhon Park","","0","11-3.2713179","0011-A-1533-1222","1",""
